actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
188.84799194335938,0.0
205.9004364013672,0.0
219.5424041748047,164.2820281982422
250.2367401123047,192.16970825195312
277.5206298828125,217.18548583984375
291.16259765625,229.23020935058594
301.39404296875,239.99539184570312
304.80450439453125,247.72933959960938
304.80450439453125,252.47900390625
301.39404296875,254.273193359375
301.39404296875,255.37506103515625
301.39404296875,256.0517578125
301.39404296875,256.4673156738281
301.39404296875,256.7225341796875
297.9835205078125,255.7565460205078
297.9835205078125,255.16329956054688
294.57305908203125,253.67623901367188
287.7520751953125,250.51754760742188
284.34161376953125,247.45498657226562
274.11016845703125,242.2060089111328
263.87872314453125,235.61428833007812
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
193.2340545654297,0.0
237.5703582763672,0.0
268.26470947265625,185.49803161621094
295.54864501953125,211.21385192871094
322.83245849609375,235.9884796142578
346.70587158203125,259.0624084472656
370.5793151855469,281.09185791015625
394.4527282714844,302.4798889160156
404.6841735839844,318.9831237792969
408.0946960449219,330.240966796875
418.3261413574219,340.52294921875
435.3785095214844,352.45098876953125
438.7890319824219,360.89910888671875
442.1995544433594,367.2101135253906
